game_id,platform,release_year
1,Windows,2020
1,Macintosh,2020
1,Stadia,2020
1,PlayStation 5,2023
1,Xbox Series,2023
2,Nintendo Switch,2023
2,Nintendo Switch 2,2025
5,Windows,2022
5,PlayStation 4,2022
5,Xbox One,2022
5,PlayStation 5,2022
5,Xbox Series,2022
6,Windows,2024
6,Windows Apps,2024
6,PlayStation 4,2024
6,PlayStation 5,2024
6,Xbox Series,2024
7,Windows,2025
7,Windows Apps,2025
7,PlayStation 5,2025
7,Xbox Series,2025
7,Xbox Cloud Gaming,2025
8,PlayStation 4,2022
8,PlayStation 5,2022
9,Windows,2023
9,PlayStation 4,2023
9,PlayStation 5,2023
9,Xbox Series,2023
9,Macintosh,2023
9,iPhone,2023
9,iPad,2023
10,Linux,2025
10,Windows,2025
10,Macintosh,2025
10,Windows Apps,2025
10,PlayStation 4,2025
10,Xbox One,2025
10,Nintendo Switch,2025
10,PlayStation 5,2025
10,Xbox Series,2025
10,Xbox Cloud Gaming,2025
10,Nintendo Switch 2,2025
11,Windows,2025
11,PlayStation 5,2025
11,Xbox Series,2025
11,Nintendo Switch 2,2025
12,Windows,2024
12,PlayStation 4,2024
12,Xbox One,2024
12,Nintendo Switch,2024
12,PlayStation 5,2024
12,Xbox Series,2024
12,Macintosh,2024
12,Android,2024
12,iPhone,2024
12,iPad,2024
13,Windows,2024
13,Windows Apps,2024
13,PlayStation 4,2024
13,Xbox One,2024
13,PlayStation 5,2024
13,Xbox Series,2024
15,Windows,2023
15,PlayStation 4,2023
15,PlayStation 5,2023
15,Xbox Series,2023
16,PlayStation 5,2024
16,Windows,2025
17,PlayStation 4,2021
17,Nintendo Switch,2021
19,Windows,2022
19,Windows Apps,2022
19,Xbox One,2022
19,Nintendo Switch,2022
19,PlayStation 5,2022
19,Xbox Series,2022
20,Windows,2025
20,Windows Apps,2025
20,PlayStation 5,2025
20,Xbox Series,2025
21,Windows,2024
21,Nintendo Switch,2024
21,PlayStation 5,2024
21,Xbox Series,2024
22,Windows,2021
22,Windows Apps,2021
22,PlayStation 4,2021
22,Xbox One,2021
22,Xbox Series,2021
22,Linux,2022
22,Macintosh,2022
23,Windows,2025
23,PlayStation 5,2025
23,Xbox Series,2025
23,Luna,2025
24,Windows,2024
24,PlayStation 5,2024
24,Xbox Series,2024
26,Windows,2021
26,PlayStation 4,2021
26,Xbox One,2021
26,PlayStation 5,2021
26,Xbox Series,2021
26,Nintendo Switch,2022
28,PlayStation 4,2021
28,PlayStation 5,2021
28,Windows,2024
29,PlayStation 5,2025
29,Windows,2025
29,Xbox Series,2025
30,PlayStation 4,2020
30,PlayStation Now,2021
33,Windows,2020
33,Windows Apps,2020
33,Xbox Series,2021
33,Xbox Cloud Gaming,2022
34,Windows Apps,2020
34,Xbox One,2020
34,Windows,2020
34,Xbox Cloud Gaming,2020
34,Nintendo Switch,2020
35,Windows,2024
35,Nintendo Switch,2024
35,PlayStation 5,2024
35,Xbox Series,2024
36,Windows,2021
36,Windows Apps,2021
36,Xbox One,2021
36,Xbox Series,2021
36,PlayStation 5,2025
37,PlayStation 5,2022
37,Windows,2023
39,Linux,2023
39,Windows,2023
39,Macintosh,2023
39,PlayStation 4,2024
39,Xbox One,2024
39,Nintendo Switch,2024
39,PlayStation 5,2024
39,Xbox Series,2024
40,Windows,2023
40,Windows Apps,2023
40,Xbox Series,2023
40,PlayStation 5,2024
41,Linux,2022
41,Windows,2022
41,Macintosh,2022
41,Windows Apps,2022
41,PlayStation 4,2022
41,Xbox One,2022
41,Nintendo Switch,2022
41,Xbox Series,2022
41,Xbox Cloud Gaming,2022
43,PlayStation 5,2023
43,Windows,2025
44,Windows,2022
44,Macintosh,2023
44,Nintendo Switch,2023
44,PlayStation 4,2024
44,PlayStation 5,2024
45,Windows,2024
45,Windows Apps,2024
45,PlayStation 4,2024
45,Xbox One,2024
45,Nintendo Switch,2024
45,PlayStation 5,2024
45,Xbox Series,2024
46,PlayStation 4,2021
46,PlayStation 5,2022
46,Windows,2022
47,Windows,2024
47,Nintendo Switch,2025
49,Windows,2025
49,PlayStation 4,2025
49,Xbox One,2025
49,Nintendo Switch,2025
49,PlayStation 5,2025
49,Xbox Series,2025
50,Windows,2025
50,PlayStation 4,2025
50,Nintendo Switch,2025
50,PlayStation 5,2025
51,Windows,2023
51,PlayStation 5,2023
51,Xbox Series,2023
52,Windows,2023
52,PlayStation 5,2023
52,Xbox Series,2023
53,Windows,2023
53,Windows Apps,2023
53,PlayStation 4,2023
53,Xbox One,2023
53,Nintendo Switch,2023
53,PlayStation 5,2023
53,Xbox Series,2023
54,Windows,2024
54,Windows Apps,2024
54,PlayStation 4,2024
54,Xbox One,2024
54,PlayStation 5,2024
54,Xbox Series,2024
54,Nintendo Switch 2,2025
55,PlayStation 5,2021
